Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 10 iteration; 16384 strings array; 2994.424 sort μs; 109602.648 rand gen μs; 23.011 overhead μs; 112620.083 total μs; 72409.100 swaps; 305582.700 compares
Quick Sort; Head<2ul, 7ul, 16ul> type; 2 byte length; 10 iteration; 32768 strings array; 5260.221 sort μs; 1690.278 rand gen μs; 20.707 overhead μs; 6971.206 total μs; 163804.100 swaps; 619458.800 compares
Quick Sort; Head<4ul, 7ul, 16ul> type; 4 byte length; 10 iteration; 32768 strings array; 6157.495 sort μs; 1830.675 rand gen μs; 19.937 overhead μs; 8008.107 total μs; 152052.000 swaps; 668107.300 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 10 iteration; 32768 strings array; 5566.592 sort μs; 2033.475 rand gen μs; 21.436 overhead μs; 7621.503 total μs; 152263.500 swaps; 661037.900 compares
Quick Sort; Head<16ul, 7ul, 16ul> type; 16 byte length; 10 iteration; 32768 strings array; 6463.281 sort μs; 3600.618 rand gen μs; 31.955 overhead μs; 10095.855 total μs; 152202.300 swaps; 662510.200 compares
Quick Sort; Head<32ul, 7ul, 16ul> type; 32 byte length; 10 iteration; 32768 strings array; 6365.376 sort μs; 7115.805 rand gen μs; 19.416 overhead μs; 13500.597 total μs; 152269.300 swaps; 656638.600 compares
Quick Sort; Head<64ul, 7ul, 16ul> type; 64 byte length; 10 iteration; 32768 strings array; 6580.449 sort μs; 14238.528 rand gen μs; 22.249 overhead μs; 20841.226 total μs; 152089.700 swaps; 666747.700 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 10 iteration; 32768 strings array; 6453.307 sort μs; 27963.646 rand gen μs; 20.002 overhead μs; 34436.954 total μs; 151444.100 swaps; 677507.300 compares
Quick Sort; Head<256ul, 7ul, 16ul> type; 256 byte length; 10 iteration; 32768 strings array; 6448.135 sort μs; 54979.647 rand gen μs; 20.204 overhead μs; 61447.986 total μs; 151745.400 swaps; 674126.300 compares
Quick Sort; Head<512ul, 7ul, 16ul> type; 512 byte length; 10 iteration; 32768 strings array; 6384.240 sort μs; 109014.907 rand gen μs; 20.109 overhead μs; 115419.256 total μs; 152095.700 swaps; 663182.300 compares
