Quick Sort; Direct<char, 2ul> type; 2 byte length; 10 iteration; 65536 strings array; 12437.363 sort μs; 3300.451 rand gen μs; 3.716 overhead μs; 15741.531 total μs; 353166.200 swaps; 1321431.000 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 10 iteration; 65536 strings array; 13982.916 sort μs; 3563.087 rand gen μs; 2.095 overhead μs; 17548.099 total μs; 319151.100 swaps; 1422106.700 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 10 iteration; 65536 strings array; 14796.263 sort μs; 3997.785 rand gen μs; 2.334 overhead μs; 18796.382 total μs; 318516.700 swaps; 1443291.900 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 10 iteration; 65536 strings array; 16031.458 sort μs; 7136.780 rand gen μs; 2.242 overhead μs; 23170.480 total μs; 318759.700 swaps; 1424981.900 compares
Quick Sort; Direct<char, 32ul> type; 32 byte length; 10 iteration; 65536 strings array; 16808.703 sort μs; 14042.043 rand gen μs; 2.492 overhead μs; 30853.237 total μs; 318916.800 swaps; 1424602.600 compares
Quick Sort; Direct<char, 64ul> type; 64 byte length; 10 iteration; 65536 strings array; 16689.708 sort μs; 28008.598 rand gen μs; 3.498 overhead μs; 44701.804 total μs; 319989.200 swaps; 1406619.200 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 10 iteration; 65536 strings array; 31296.238 sort μs; 55219.236 rand gen μs; 3.410 overhead μs; 86518.883 total μs; 319943.400 swaps; 1409421.000 compares
Quick Sort; Direct<char, 256ul> type; 256 byte length; 10 iteration; 65536 strings array; 40714.112 sort μs; 109967.655 rand gen μs; 3.641 overhead μs; 150685.408 total μs; 319233.600 swaps; 1423587.600 compares
Quick Sort; Direct<char, 512ul> type; 512 byte length; 10 iteration; 65536 strings array; 63072.032 sort μs; 217996.935 rand gen μs; 3.651 overhead μs; 281072.618 total μs; 319769.900 swaps; 1411424.100 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 10 iteration; 65536 strings array; 90501.218 sort μs; 438177.506 rand gen μs; 16.176 overhead μs; 528694.900 total μs; 319658.000 swaps; 1414076.000 compares
Quick Sort; Direct<char, 2ul> type; 2 byte length; 1 iteration; 131072 strings array; 26942.126 sort μs; 7244.764 rand gen μs; 29.074 overhead μs; 34215.964 total μs; 765849.000 swaps; 2736493.000 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 1 iteration; 131072 strings array; 31097.635 sort μs; 7301.758 rand gen μs; 26.493 overhead μs; 38425.886 total μs; 666599.000 swaps; 3095739.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 131072 strings array; 31942.668 sort μs; 8308.692 rand gen μs; 21.497 overhead μs; 40272.857 total μs; 661045.000 swaps; 3219111.000 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 1 iteration; 131072 strings array; 34293.739 sort μs; 14870.608 rand gen μs; 121.534 overhead μs; 49285.881 total μs; 670344.000 swaps; 2936092.000 compares
Quick Sort; Direct<char, 32ul> type; 32 byte length; 1 iteration; 131072 strings array; 36569.765 sort μs; 28587.032 rand gen μs; 123.048 overhead μs; 65279.845 total μs; 673581.000 swaps; 2956979.000 compares
