Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 256 strings array; 25.880 sort μs; 16.514 rand gen μs; 5.601 overhead μs; 47.995 total μs; 763.000 swaps; 2740.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 512 strings array; 55.001 sort μs; 32.021 rand gen μs; 5.720 overhead μs; 92.742 total μs; 1683.000 swaps; 5923.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 1024 strings array; 131.420 sort μs; 64.418 rand gen μs; 6.116 overhead μs; 201.954 total μs; 3536.000 swaps; 14404.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 2048 strings array; 280.311 sort μs; 128.224 rand gen μs; 7.692 overhead μs; 416.227 total μs; 7622.000 swaps; 33051.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 4096 strings array; 594.791 sort μs; 254.255 rand gen μs; 8.654 overhead μs; 857.700 total μs; 16023.000 swaps; 69788.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 8192 strings array; 1272.827 sort μs; 511.737 rand gen μs; 11.819 overhead μs; 1796.383 total μs; 34170.000 swaps; 149149.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 16384 strings array; 2738.709 sort μs; 1023.930 rand gen μs; 17.396 overhead μs; 3780.035 total μs; 71477.000 swaps; 324939.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 32768 strings array; 5878.283 sort μs; 2034.079 rand gen μs; 27.014 overhead μs; 7939.376 total μs; 152303.000 swaps; 689160.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 65536 strings array; 12109.579 sort μs; 4085.547 rand gen μs; 46.190 overhead μs; 16241.316 total μs; 320769.000 swaps; 1384195.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 131072 strings array; 26406.811 sort μs; 9180.477 rand gen μs; 266.092 overhead μs; 35853.380 total μs; 665961.000 swaps; 3077423.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 262144 strings array; 55442.908 sort μs; 17415.809 rand gen μs; 355.399 overhead μs; 73214.116 total μs; 1394359.000 swaps; 6512302.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 524288 strings array; 115505.735 sort μs; 36886.050 rand gen μs; 1068.859 overhead μs; 153460.644 total μs; 2923874.000 swaps; 13392912.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 1048576 strings array; 245675.845 sort μs; 73681.766 rand gen μs; 2172.067 overhead μs; 321529.678 total μs; 6041432.000 swaps; 29029822.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 2097152 strings array; 518392.061 sort μs; 147188.074 rand gen μs; 4311.597 overhead μs; 669891.732 total μs; 12613786.000 swaps; 60858184.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 4194304 strings array; 1071810.537 sort μs; 296429.059 rand gen μs; 9168.231 overhead μs; 1377407.827 total μs; 26353760.000 swaps; 123705514.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 8388608 strings array; 2322363.774 sort μs; 589061.937 rand gen μs; 18303.038 overhead μs; 2929728.749 total μs; 54165703.000 swaps; 273291108.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 16777216 strings array; 4744675.427 sort μs; 1177860.257 rand gen μs; 36950.183 overhead μs; 5959485.867 total μs; 112994242.000 swaps; 549070942.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 33554432 strings array; 9882371.957 sort μs; 2355007.201 rand gen μs; 73472.893 overhead μs; 12310852.051 total μs; 232383398.000 swaps; 1155255387.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 67108864 strings array; 20312272.374 sort μs; 4710191.477 rand gen μs; 147022.641 overhead μs; 25169486.492 total μs; 482721044.000 swaps; 2343108328.000 compares
